id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
58,32,JAWA BARAT,CIWULAN-CILAKI,CIKEMBULAN,OKTOBER,0.0,MILIMETER,2015
59,32,JAWA BARAT,CIWULAN-CILAKI,CIKEMBULAN,NOVEMBER,365.0,MILIMETER,2015
60,32,JAWA BARAT,CIWULAN-CILAKI,CIKEMBULAN,DESEMBER,478.0,MILIMETER,2015
61,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,JANUARI,311.0,MILIMETER,2015
62,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,FEBRUARI,625.0,MILIMETER,2015
63,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,MARET,350.0,MILIMETER,2015
64,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,APRIL,237.0,MILIMETER,2015
65,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,MEI,112.0,MILIMETER,2015
66,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,JUNI,110.0,MILIMETER,2015
67,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,JULI,10.0,MILIMETER,2015
68,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,AGUSTUS,0.0,MILIMETER,2015
69,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,SEPTEMBER,0.0,MILIMETER,2015
70,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,OKTOBER,0.0,MILIMETER,2015
71,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,NOVEMBER,765.0,MILIMETER,2015
72,32,JAWA BARAT,CIWULAN-CILAKI,CIKUTEN,DESEMBER,262.0,MILIMETER,2015
73,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,JANUARI,53.0,MILIMETER,2015
74,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,FEBRUARI,133.0,MILIMETER,2015
75,32,JAWA BARAT,CIWULAN-CILAKI,CIMERAK,MARET,124.0,MILIMETER,2015
